code_site;adresse;operateur;mise_en_serv;mise_en_serv_4g;mise_en_serv_5g_3500;mise_en_serv_5g_700;type;ardt;geo_shape;geo_point_2d
75111_058_03;196 bis, rue de la Roquette;FREE MOBILE;2019-06-04T04:00:00+02:00;2019-05-03T04:00:00+02:00;;2021-03-19T02:00:00+01:00;MACRO;75011;"{""coordinates"": [2.388204000424258, 48.859604999780196], ""type"": ""Point""}";48.859604999780196,2.388204000424258
00000442U7;174/176, bd berthier;ORANGE;2013-09-27T04:00:00+02:00;2013-08-12T04:00:00+02:00;2020-12-17T02:00:00+01:00;;Macro;75017;"{""coordinates"": [2.293708499897451, 48.886118999948806], ""type"": ""Point""}";48.886118999948806,2.293708499897451
75113_013_07;6 BOULEVARD VINCENT AURIOL;FREE MOBILE;2016-10-17T04:00:00+02:00;2016-11-03T02:00:00+01:00;;2021-03-19T02:00:00+01:00;MACRO;75013;"{""coordinates"": [2.373003208782368, 48.83740805486547], ""type"": ""Point""}";48.83740805486547,2.373003208782368
00080199U7;115, Avenue Victor Hugo;ORANGE;2011-01-05T02:00:00+01:00;2013-11-26T02:00:00+01:00;;;Macro;75016;"{""coordinates"": [2.282624999709244, 48.86838000010649], ""type"": ""Point""}";48.86838000010649,2.282624999709244
75113_007_14;2-34 rue Louise Weiss;FREE MOBILE;2017-06-27T04:00:00+02:00;2017-06-27T04:00:00+02:00;2021-03-19T02:00:00+01:00;2021-03-19T02:00:00+01:00;MACRO;75013;"{""coordinates"": [2.369817000024966, 48.83435999979998], ""type"": ""Point""}";48.83435999979998,2.369817000024966
00000095U8;Quai de Bercy;ORANGE;2013-01-09T02:00:00+01:00;2019-02-01T02:00:00+01:00;;;Macro;75012;"{""coordinates"": [2.421337105427415, 48.834976795461984], ""type"": ""Point""}";48.834976795461984,2.421337105427415
75113_076_01;14, rue du Jura 75013 Paris;FREE MOBILE;2020-12-12T02:00:00+01:00;2020-12-12T02:00:00+01:00;2021-03-19T02:00:00+01:00;2021-03-19T02:00:00+01:00;MACRO;75013;"{""coordinates"": [2.355992999440895, 48.83705099998977], ""type"": ""Point""}";48.83705099998977,2.355992999440895
00000087U7;5, rue alfred bruneau;ORANGE;2012-11-28T02:00:00+01:00;2013-05-16T04:00:00+02:00;2021-07-13T04:00:00+02:00;;Macro;75016;"{""coordinates"": [2.277184500194808, 48.85582500019569], ""type"": ""Point""}";48.85582500019569,2.277184500194808
75114_050_04;101 BOULEVARD BRUNE;FREE MOBILE;2020-02-25T02:00:00+01:00;2020-02-25T02:00:00+01:00;;;MACRO;75014;"{""coordinates"": [2.314984500123676, 48.82576499967064], ""type"": ""Point""}";48.82576499967064,2.314984500123676
00009710U5;32 Avenue de l'Opéra;ORANGE;2016-09-22T04:00:00+02:00;2016-08-22T04:00:00+02:00;;;Macro;75002;"{""coordinates"": [2.333523492873731, 48.86833803618788], ""type"": ""Point""}";48.86833803618788,2.333523492873731
75115_008_04;69 BOULEVARD PASTEUR;FREE MOBILE;2017-06-20T04:00:00+02:00;2017-06-20T04:00:00+02:00;;;MACRO;75015;"{""coordinates"": [2.314966499340176, 48.840848999679565], ""type"": ""Point""}";48.840848999679565,2.314966499340176
00080177U8;27, rue lécluse;ORANGE;;2013-07-01T04:00:00+02:00;;;Macro;75017;"{""coordinates"": [2.325105000001086, 48.884571000045], ""type"": ""Point""}";48.884571000045,2.325105000001086
75115_064_02;22 RUE DU HAMEAU;FREE MOBILE;2016-12-23T02:00:00+01:00;2016-12-23T02:00:00+01:00;2021-05-21T04:00:00+02:00;2021-05-24T04:00:00+02:00;MACRO;75015;"{""coordinates"": [2.288290500121433, 48.83471099999198], ""type"": ""Point""}";48.83471099999198,2.288290500121433
00000065U8;42/44, rue j python;ORANGE;2013-08-22T04:00:00+02:00;2016-12-02T02:00:00+01:00;;;Macro;75020;"{""coordinates"": [2.412535500350883, 48.86363700019187], ""type"": ""Point""}";48.86363700019187,2.412535500350883
75115_073_01;86 RUE DE LA FEDERATION;FREE MOBILE;2018-08-22T04:00:00+02:00;2018-08-22T04:00:00+02:00;;2021-10-26T04:00:00+02:00;MACRO;75015;"{""coordinates"": [2.29791454606004, 48.852706487145575], ""type"": ""Point""}";48.852706487145575,2.29791454606004
00000063U7;109, rue st charles;ORANGE;2011-05-04T04:00:00+02:00;2013-03-28T02:00:00+01:00;2020-12-04T02:00:00+01:00;;Macro;75015;"{""coordinates"": [2.284537500439789, 48.84528599975774], ""type"": ""Point""}";48.84528599975774,2.284537500439789
75116_088_23;7, rue Parent de Rosan;FREE MOBILE;2020-09-28T04:00:00+02:00;2020-07-31T04:00:00+02:00;2021-03-19T02:00:00+01:00;2021-03-19T02:00:00+01:00;MACRO;75016;"{""coordinates"": [2.260989000292866, 48.839895000078776], ""type"": ""Point""}";48.839895000078776,2.260989000292866
00023059U5;9 rue Charles Cros;ORANGE;2020-05-27T04:00:00+02:00;2020-05-27T04:00:00+02:00;;;Macro;75020;"{""coordinates"": [2.407936499380849, 48.87676800016291], ""type"": ""Point""}";48.87676800016291,2.407936499380849
75117_020_05;92 BOULEVARD DE COURCELLES;FREE MOBILE;2015-03-13T02:00:00+01:00;2015-03-13T02:00:00+01:00;;;MACRO;75017;"{""coordinates"": [2.304062999592504, 48.879531000284814], ""type"": ""Point""}";48.879531000284814,2.304062999592504
753595;18  RUE DE MOGADOR;SFR;;;;;Macro;75009;"{""coordinates"": [2.331440999425075, 48.87450899997968], ""type"": ""Point""}";48.87450899997968,2.331440999425075
75117_029_03;7 RUE DU GENERAL HENRYS;FREE MOBILE;2016-07-05T04:00:00+02:00;2016-08-12T04:00:00+02:00;2021-08-03T04:00:00+02:00;2021-08-03T04:00:00+02:00;MACRO;75017;"{""coordinates"": [2.326412176598092, 48.896798572676836], ""type"": ""Point""}";48.896798572676836,2.326412176598092
757572;24 Rue du Commandant Guilbaud;SFR;;;;;Indoor/Macro;75016;"{""coordinates"": [2.251557000345204, 48.84185700031499], ""type"": ""Point""}";48.84185700031499,2.251557000345204
75117_084_01;16 rue Saussier Leroy;FREE MOBILE;2021-06-01T04:00:00+02:00;2021-06-01T04:00:00+02:00;2021-07-29T04:00:00+02:00;2021-06-29T04:00:00+02:00;MACRO;75017;"{""coordinates"": [2.2962149996742, 48.879755999758444], ""type"": ""Point""}";48.879755999758444,2.2962149996742
750018;4  AVENUE MAURICE RAVEL;SFR;;;;;Macro/NB-IOT;75012;"{""coordinates"": [2.4116939995953772, 48.84153299995284], ""type"": ""Point""}";48.84153299995284,2.4116939995953772
75118_025_14;173 rue Marcadet;FREE MOBILE;2017-09-01T04:00:00+02:00;2017-09-01T04:00:00+02:00;;2021-05-25T04:00:00+02:00;MACRO;75018;"{""coordinates"": [2.336184788330351, 48.891445493530085], ""type"": ""Point""}";48.891445493530085,2.336184788330351
750054;45  RUE DES SAINTS PERES;SFR;;;2021-06-14T04:00:00+02:00;;Macro/NB-IOT;75006;"{""coordinates"": [2.331292499913443, 48.8555369995692], ""type"": ""Point""}";48.8555369995692,2.331292499913443
75118_031_05;34, rue Hermel;FREE MOBILE;2017-09-01T04:00:00+02:00;2017-09-01T04:00:00+02:00;;;MACRO;75018;"{""coordinates"": [2.345314499980985, 48.89280599967967], ""type"": ""Point""}";48.89280599967967,2.345314499980985
750057;97  RUE DE CRIMEE;SFR;;;2021-03-19T02:00:00+01:00;;Macro/NB-IOT;75019;"{""coordinates"": [2.383847999837905, 48.884219999677896], ""type"": ""Point""}";48.884219999677896,2.383847999837905
75119_025_03;10 AVENUE PORTE DES LILAS;FREE MOBILE;2013-12-04T02:00:00+01:00;2013-12-04T02:00:00+01:00;;;MACRO;75020;"{""coordinates"": [2.407918499650154, 48.87735299965793], ""type"": ""Point""}";48.87735299965793,2.407918499650154
750111;211  RUE CHAMPIONNET;SFR;;;;;Macro/NB-IOT;75018;"{""coordinates"": [2.330865000514025, 48.89368799967829], ""type"": ""Point""}";48.89368799967829,2.330865000514025
75119_057_04;132, avenue Jean Jaurès;FREE MOBILE;2020-07-16T04:00:00+02:00;2020-07-16T04:00:00+02:00;;2021-05-25T04:00:00+02:00;MACRO;75019;"{""coordinates"": [2.385076500144554, 48.88651499990405], ""type"": ""Point""}";48.88651499990405,2.385076500144554
750094;Place du MarÃ©chal de Lattre de Tassigny;SFR;;;;;Macro/NB-IOT;75016;"{""coordinates"": [2.274948658447232, 48.871620751808415], ""type"": ""Point""}";48.871620751808415,2.274948658447232
75120_066_01;64 RUE PELLEPORT;FREE MOBILE;2019-09-13T04:00:00+02:00;2019-09-13T04:00:00+02:00;;2021-03-31T04:00:00+02:00;MACRO;75020;"{""coordinates"": [2.402866612168504, 48.86659727511731], ""type"": ""Point""}";48.86659727511731,2.402866612168504
750287;67  AVENUE DU MAINE;SFR;;;2021-07-16T04:00:00+02:00;;Macro/NB-IOT;75014;"{""coordinates"": [2.322477000136343, 48.83925600036323], ""type"": ""Point""}";48.83925600036323,2.322477000136343
75109_039_01;46 rue de Dunkerque;FREE MOBILE;2021-07-28T04:00:00+02:00;2021-07-28T04:00:00+02:00;2021-09-02T04:00:00+02:00;2021-07-29T04:00:00+02:00;MACRO;75009;"{""coordinates"": [2.348856000411228, 48.881430000068725], ""type"": ""Point""}";48.881430000068725,2.348856000411228
750156;10 rue du Chevalier Saint Georges;SFR;;;;;Macro/Micro;75001;"{""coordinates"": [2.325055500298182, 48.868470000230104], ""type"": ""Point""}";48.868470000230104,2.325055500298182
75110_051_01;16 place de la république;FREE MOBILE;2021-10-20T04:00:00+02:00;2021-10-20T04:00:00+02:00;2021-10-26T04:00:00+02:00;2021-12-07T02:00:00+01:00;MACRO;75010;"{""coordinates"": [2.3623218664054813, 48.86821690157617], ""type"": ""Point""}";48.86821690157617,2.3623218664054813
750294;24  RUE BALARD;SFR;;;2021-04-07T04:00:00+02:00;;Macro/NB-IOT;75015;"{""coordinates"": [2.277252000604916, 48.84347699991563], ""type"": ""Point""}";48.84347699991563,2.277252000604916
75110_050_01;3 boulevard de la Chapelle;FREE MOBILE;2021-12-17T02:00:00+01:00;2021-12-17T02:00:00+01:00;2021-12-23T02:00:00+01:00;2021-12-30T02:00:00+01:00;MACRO;75010;"{""coordinates"": [2.36399036493723, 48.88420040597633], ""type"": ""Point""}";48.88420040597633,2.36399036493723
750295;97 - 99 rue de la Saussure;SFR;;;2021-04-07T04:00:00+02:00;;Macro/NB-IOT;75017;"{""coordinates"": [2.311812000615642, 48.8873429996032], ""type"": ""Point""}";48.8873429996032,2.311812000615642
T10926;4  boulevard  DU PALAIS;BOUYGUES;1998-12-09T02:00:00+01:00;;;;MACRO;75001;"{""coordinates"": [2.345620682155702, 48.85529900759783], ""type"": ""Point""}";48.85529900759783,2.345620682155702
750313;136  AVENUE DE FLANDRE;SFR;;;;;Macro/NB-IOT;75019;"{""coordinates"": [2.380455000435981, 48.893157000016515], ""type"": ""Point""}";48.893157000016515,2.380455000435981
T10975;29  rue  JEAN JACQUES ROUSSEAU;BOUYGUES;2000-03-15T02:00:00+01:00;;;;MACRO;75001;"{""coordinates"": [2.341318500678951, 48.86300699990971], ""type"": ""Point""}";48.86300699990971,2.341318500678951
750314;14  RUE PELEE;SFR;;;;;Macro/NB-IOT;75011;"{""coordinates"": [2.370883499940323, 48.85990199990594], ""type"": ""Point""}";48.85990199990594,2.370883499940323
T15136;156  rue  DE RIVOLI;BOUYGUES;2002-12-10T02:00:00+01:00;;;;MACRO;75001;"{""coordinates"": [2.340468000447308, 48.861189000451986], ""type"": ""Point""}";48.861189000451986,2.340468000447308
750757;34  AVENUE CLAUDE VELLEFAUX;SFR;;;2021-04-07T04:00:00+02:00;;Macro/NB-IOT;75010;"{""coordinates"": [2.370483000542441, 48.87444599988806], ""type"": ""Point""}";48.87444599988806,2.370483000542441
T15134;21  place  DU MARCHE SAINT HONORE;BOUYGUES;2007-12-13T02:00:00+01:00;;;;MACRO;75001;"{""coordinates"": [2.331058500299944, 48.86678699967433], ""type"": ""Point""}";48.86678699967433,2.331058500299944
751126;61  RUE LAURISTON;SFR;;;;;Macro/NB-IOT;75016;"{""coordinates"": [2.29032449937298, 48.8695139998571], ""type"": ""Point""}";48.8695139998571,2.29032449937298
T16791;16 RUE PASCAL;BOUYGUES;2019-04-17T04:00:00+02:00;;;;MACRO;75005;"{""coordinates"": [2.349433675730599, 48.83825503891117], ""type"": ""Point""}";48.83825503891117,2.349433675730599
751223;108  RUE LEMERCIER;SFR;;;;;Macro/NB-IOT;75017;"{""coordinates"": [2.318008499961015, 48.88990800030019], ""type"": ""Point""}";48.88990800030019,2.318008499961015
T16783;68  rue  DE VAUGIRARD;BOUYGUES;2017-12-27T02:00:00+01:00;;;;MACRO;75006;"{""coordinates"": [2.330811000574572, 48.848246999592], ""type"": ""Point""}";48.848246999592,2.330811000574572
